timestamp_local,step_no,ie_ratio,tidal_vol,bpm
2020-03-29 20:56:54.569165,1,1.00,250,10.0
2020-03-29 20:57:24.598693,2,1.00,250,40.0
2020-03-29 20:57:54.628703,3,1.00,750,10.0
2020-03-29 20:58:24.658726,4,1.00,750,40.0
2020-03-29 20:58:54.688721,5,1.00,1325,10.0
2020-03-29 20:59:24.718678,6,1.00,1325,40.0
2020-03-29 20:59:54.748687,7,4.00,250,10.0
2020-03-29 21:00:24.778700,8,4.00,250,40.0
2020-03-29 21:00:54.808723,9,4.00,750,10.0
2020-03-29 21:01:24.838712,10,4.00,750,40.0
2020-03-29 21:01:54.868836,11,4.00,1325,10.0
2020-03-29 21:02:24.898712,12,4.00,1325,40.0
